ptax_compra,ptax_venda,ptax_mid,mt5_close,date,diff_bps_venda,diff_bps_mid
5.1668,5.1674,5.1671,5.1984,2026-02-12,59.99148507953822,60.57556463006478
5.2282,5.2288,5.2285,5.2563,2026-02-13,52.59332925336741,53.170125274935536
5.2343,5.2349,5.2346,5.2504,2026-02-18,29.608970562953047,30.183777174950503
5.225,5.2257,5.22535,5.2582,2026-02-19,62.19262491149634,62.86660223717208
5.2,5.2006,5.2003,5.2433,2026-02-20,82.10591085643956,82.6875372574645
5.1629,5.1635,5.1632,5.2035,2026-02-23,77.46683451147484,78.05237062286997
5.1676,5.1682,5.1678999999999995,5.2094,2026-02-24,79.71827715645662,80.30341144372007
5.1434,5.144,5.1437,5.1909,2026-02-25,91.17418351477438,91.76273888446086
5.1376,5.1382,5.1379,5.1806,2026-02-26,82.51917013740174,83.10788454426898
5.1489,5.1495,5.1492,5.2052,2026-02-27,108.16584134381952,108.75475802066177
5.1995,5.2001,5.1998,5.2325,2026-03-02,62.30649410588255,62.88703411669714
5.2864,5.287,5.2867,5.3136,2026-03-03,50.312086249291056,50.88240301133102
5.2085,5.2091,5.2088,5.2494,2026-03-04,77.36461192912276,77.94501612655415
5.2441,5.2447,5.244400000000001,5.2866,2026-03-05,79.8901748431751,80.46678361680905
5.2872,5.2878,5.2875,5.3565,2026-03-06,129.92170656983956,130.49645390070913
5.2133,5.2139,5.2136,5.2620000000000005,2026-03-09,92.25339956654462,92.83412613165738
5.1616,5.1622,5.1619,5.2187,2026-03-10,109.4494595327569,110.03700187915294
5.159,5.1596,5.1593,5.19,2026-03-11,58.919296069463144,59.50419630570114
5.2045,5.2051,5.2048000000000005,5.2452,2026-03-12,77.03982632418167,77.62065785428662
5.2535,5.2541,5.2538,5.2653,2026-03-13,21.31668601663397,21.888918497087523
5.2641,5.2647,5.2644,5.2919,2026-03-16,51.664862195376124,52.2376719094291
5.2016,5.2022,5.2019,5.2302,2026-03-17,53.82338241513125,54.40319883119585
5.2106,5.2112,5.2109000000000005,5.237,2026-03-18,49.508750383789284,50.08731697019625
5.2581,5.2587,5.2584,5.2965,2026-03-19,71.88088310799215,72.45549977179374
5.2793,5.28,5.27965,5.333,2026-03-20,100.37878787878775,101.0483649484341
5.2434,5.244,5.2437000000000005,5.281,2026-03-23,70.55682684973289,71.13297862196391
5.2593,5.2599,5.2596,5.2803,2026-03-24,38.78400730051982,39.356605065025114
5.2269,5.2275,5.2272,5.2668,2026-03-25,75.1793400286942,75.75757575757592
5.2302,5.2308,5.2305,5.2666,2026-03-26,68.44077387780082,69.0182582927067
5.237,5.2376,5.237299999999999,5.2755,2026-03-27,72.3613868947619,72.9383460943629
5.2347,5.2353,5.234999999999999,5.2611,2026-03-30,49.28084350467073,49.85673352435617
5.2188,5.2194,5.2191,5.2635,2026-03-31,84.49247039889521,85.07213887451773
