grupo,k_min,mean_bps,se_bps,n_eventos
"R$0,10",-7,-4.970490917400729,0.43677040806065265,693
"R$0,10",-6,-5.072777780838206,0.4267273655685153,693
"R$0,10",-5,-5.074857009246667,0.3808726726711522,693
"R$0,10",-4,-5.2060900284970835,0.3431105163966811,693
"R$0,10",-3,-5.2201276823234855,0.30855820279349533,693
"R$0,10",-2,-5.3615603891441115,0.28474303734666184,693
"R$0,10",-1,-3.8633713459767134,0.2391303765413604,693
"R$0,10",0,0.0,0.0,693
"R$0,10",1,-0.1703532721573029,0.1679620085719233,693
"R$0,10",2,-0.17553993431898784,0.2090993178505371,693
"R$0,10",3,-0.04457332493821048,0.25166434523360703,693
"R$0,10",4,-0.3174632932762482,0.2737105797267003,693
"R$0,10",5,0.031294590999276777,0.2905160563509364,693
"R$0,10",6,-0.039550490325352315,0.306047665697276,693
"R$0,10",7,-0.14670105663932057,0.34592587052982693,693
"R$0,10",8,-0.2009335884377134,0.3741430834659571,693
"R$0,10",9,-0.0546849250990587,0.3992231846679975,693
"R$0,10",10,-0.11979102896169909,0.4166903105719799,693
"R$0,10",11,-0.23543333063476762,0.4249977333320519,693
"R$0,10",12,-0.23738449959187655,0.4428012543133781,693
"R$0,10",13,-0.41401771823369876,0.455340266965588,693
"R$0,10",14,-0.30103279394850396,0.4780815221815472,693
"R$0,10",15,-0.11814708421471712,0.4966717138053397,693
"R$0,10",16,-0.12110298604803135,0.5176151449576952,693
"R$0,10",17,-0.0912988707795132,0.533647941510059,693
"R$0,10",18,0.14294341452034598,0.5320362580529123,693
"R$0,10",19,0.12370649229945398,0.5467172355743148,693
"R$0,10",20,0.014922121206940576,0.5552506435426514,693
"R$0,10",21,0.26586113645533743,0.5639320263234235,693
"R$0,10",22,-0.021129344063343262,0.5798867793544734,693
"R$0,10",23,-0.03931663871975898,0.5898932145245408,693
"R$0,10",24,-0.022332029371008293,0.5898192704099453,693
"R$0,10",25,0.1827091983985116,0.6043517398460712,693
"R$0,10",26,0.07007859300853879,0.6130240840661051,693
"R$0,10",27,-0.018372594984489926,0.6298216217760303,693
"R$0,10",28,-0.04390358202416177,0.6358360528557668,693
"R$0,10",29,0.02757633767895567,0.6367810389291727,693
"R$0,10",30,0.15086004912205336,0.6396161374981253,693
"R$0,05",-10,-4.701675311651491,0.32036316207080134,1490
"R$0,05",-9,-4.799119445334414,0.3050763620579842,1490
"R$0,05",-8,-4.887623371183732,0.2915918507798316,1490
"R$0,05",-7,-4.752927903167876,0.2777107461685309,1490
"R$0,05",-6,-4.87312080734743,0.2615536411708984,1490
"R$0,05",-5,-4.887157837783324,0.2368834800560434,1490
"R$0,05",-4,-5.0446482419506085,0.21675305753208823,1490
"R$0,05",-3,-4.9784904921483975,0.1923110887781582,1490
"R$0,05",-2,-5.1453033204841505,0.1681835860798508,1490
"R$0,05",-1,-3.6386429167009546,0.1440944705434819,1490
"R$0,05",0,0.0,0.0,1490
"R$0,05",1,-0.09452509127154468,0.10654982372908614,1490
"R$0,05",2,-0.0433661037065829,0.13652446429900827,1490
"R$0,05",3,0.010699935917170693,0.1659807725803926,1490
